age,year,slip,pop
41,2016,3,7455
42,2001,0,6126
42,2002,0,6097
42,2003,0,6133
42,2004,0,6188
42,2005,3,6745
42,2006,0,7155
42,2007,0,6939
42,2008,0,7070
42,2009,2,6964
42,2010,7,6872
42,2011,2,6530
42,2012,3,6682
42,2013,2,7058
42,2014,4,7152
42,2015,1,7264
42,2016,4,7585
43,2001,0,5997
43,2002,0,6092
43,2003,0,6062
43,2004,0,6119
43,2005,0,6167
43,2006,2,6745
43,2007,2,7089
43,2008,1,6954
43,2009,0,7068
43,2010,11,6937
43,2011,3,6836
43,2012,1,6511
43,2013,2,6706
43,2014,3,7075
43,2015,0,7153
43,2016,4,7285
44,2001,0,6086
44,2002,0,5997
44,2003,2,6066
44,2004,2,6002
44,2005,1,6069
44,2006,0,6174
44,2007,1,6706
44,2008,1,7097
44,2009,0,6956
44,2010,10,7089
44,2011,10,6951
44,2012,4,6823
44,2013,1,6506
44,2014,2,6714
44,2015,5,7057
44,2016,5,7131
45,2001,0,6114
45,2002,0,6053
45,2003,2,5972
45,2004,2,6046
45,2005,6,5957
45,2006,0,6069
45,2007,2,6134
45,2008,0,6681
45,2009,1,7062
45,2010,8,6957
45,2011,4,7088
45,2012,3,6962
45,2013,2,6860
45,2014,2,6514
45,2015,5,6698
45,2016,6,7079
46,2001,0,5964
46,2002,0,6105
46,2003,0,6033
46,2004,0,5966
46,2005,1,6027
46,2006,3,5985
46,2007,1,6071
46,2008,1,6146
46,2009,0,6689
46,2010,8,7078
46,2011,5,6997
46,2012,5,7091
46,2013,6,6993
46,2014,3,6841
46,2015,5,6531
46,2016,5,6709
47,2001,0,5775
47,2002,0,5963
47,2003,1,6092
47,2004,3,5997
47,2005,2,5979
47,2006,1,6016
47,2007,1,5960
47,2008,0,6107
47,2009,2,6175
47,2010,7,6721
47,2011,10,7096
47,2012,2,6980
47,2013,6,7084
47,2014,2,6972
47,2015,3,6901
47,2016,6,6548
48,2001,0,5984
48,2002,0,5768
48,2003,1,5929
48,2004,1,6104
48,2005,3,6005
48,2006,3,5980
48,2007,1,5990
48,2008,2,5973
48,2009,1,6148
48,2010,8,6189
48,2011,7,6735
48,2012,10,7113
48,2013,0,7008
48,2014,1,7132
48,2015,4,6969
48,2016,3,6923
49,2001,0,5788
49,2002,0,5974
49,2003,0,5732
49,2004,5,5918
49,2005,1,6053
49,2006,0,5972
49,2007,4,5970
49,2008,0,5984
49,2009,0,5972
49,2010,4,6161
49,2011,5,6217
49,2012,4,6750
49,2013,4,7156
49,2014,3,7024
49,2015,1,7147
49,2016,8,7020
50,2001,0,5535
50,2002,0,5752
50,2003,1,5956
50,2004,4,5736
50,2005,6,5925
50,2006,2,6067
50,2007,1,5961
50,2008,0,5961
50,2009,3,6010
50,2010,8,5987
50,2011,4,6155
50,2012,5,6212
50,2013,3,6787
50,2014,5,7194
50,2015,1,7062
50,2016,5,7149
51,2001,0,5936
51,2002,0,5528
51,2003,0,5732
51,2004,2,5908
51,2005,2,5715
51,2006,0,5936
51,2007,1,6062
51,2008,0,5973
51,2009,4,5958
51,2010,19,6033
51,2011,10,6052
51,2012,2,6167
51,2013,4,6213
51,2014,4,6795
51,2015,0,7182
51,2016,7,7068
52,2001,0,6146
52,2002,0,5909
52,2003,0,5535
52,2004,1,5724
52,2005,1,5861
52,2006,0,5690
52,2007,2,5919
52,2008,0,6091
52,2009,1,6004
52,2010,12,5994
52,2011,5,6067
52,2012,5,6032
52,2013,3,6192
52,2014,1,6222
52,2015,1,6816
52,2016,4,7171
53,2001,0,6227
53,2002,0,6140
53,2003,0,5863
53,2004,7,5527
53,2005,1,5704
53,2006,2,5839
53,2007,0,5664
53,2008,3,5883
53,2009,6,6108
53,2010,16,6023
53,2011,10,5977
53,2012,3,6084
53,2013,4,6051
53,2014,3,6186
53,2015,0,6225
53,2016,14,6853
54,2001,0,6190
54,2002,0,6172
54,2003,0,6074
54,2004,3,5828
54,2005,4,5494
54,2006,2,5681
54,2007,3,5842
54,2008,1,5659
54,2009,2,5863
54,2010,9,6081
54,2011,11,6020
54,2012,4,5985
54,2013,6,6117
54,2014,1,6045
54,2015,2,6189
54,2016,8,6247
55,2001,0,5980
55,2002,1,6184
55,2003,0,6144
55,2004,2,6044
55,2005,9,5782
55,2006,1,5461
55,2007,0,5639
55,2008,0,5851
55,2009,9,5657
55,2010,12,5884
55,2011,2,6080
55,2012,4,6025
55,2013,1,6015
55,2014,3,6114
55,2015,2,6034
55,2016,7,6187
56,2001,0,5984
56,2002,0,5923
56,2003,0,6155
56,2004,10,6127
56,2005,7,5982
56,2006,2,5740
56,2007,4,5397
56,2008,0,5634
56,2009,1,5841
56,2010,15,5643
56,2011,8,5901
56,2012,5,6113
56,2013,1,6019
56,2014,7,5998
56,2015,1,6095
56,2016,9,6052
57,2001,0,5589
57,2002,0,5952
57,2003,1,5863
57,2004,9,6067
57,2005,3,6078
57,2006,1,5951
57,2007,4,5742
57,2008,2,5361
57,2009,6,5571
57,2010,18,5819
57,2011,11,5606
57,2012,9,5889
57,2013,7,6061
57,2014,3,6003
57,2015,6,5990
57,2016,7,6067
58,2001,0,5514
58,2002,0,5504
58,2003,0,5898
58,2004,3,5802
58,2005,3,6011
58,2006,2,6024
58,2007,3,5899
58,2008,5,5718
58,2009,3,5359
58,2010,18,5556
58,2011,5,5811
58,2012,5,5598
58,2013,2,5882
58,2014,5,6087
58,2015,1,5965
58,2016,7,5964
59,2001,0,4862
59,2002,0,5446
59,2003,1,5450
59,2004,7,5804
59,2005,6,5748
59,2006,1,5933
59,2007,4,5969
59,2008,2,5866
59,2009,4,5682
59,2010,15,5328
59,2011,3,5530
59,2012,4,5780
59,2013,0,5590
59,2014,1,5865
59,2015,3,6070
59,2016,7,5920
60,2001,0,4270
60,2002,0,4817
60,2003,1,5374
60,2004,6,5394
60,2005,3,5755
60,2006,1,5690
60,2007,2,5869
60,2008,0,5930
60,2009,1,5814
60,2010,12,5614
60,2011,11,5284
60,2012,5,5496
60,2013,0,5754
60,2014,2,5549
60,2015,3,5821
60,2016,7,6045
61,2001,0,4146
61,2002,0,4199
61,2003,0,4741
61,2004,3,5302
61,2005,0,5345
61,2006,2,5665
61,2007,2,5619
61,2008,1,5806
61,2009,1,5857
61,2010,12,5736
61,2011,8,5589
61,2012,5,5239
61,2013,5,5436
61,2014,4,5711
61,2015,5,5502
61,2016,15,5756
62,2001,1,4029
62,2002,2,4098
62,2003,1,4138
