Segment,Accidents ,Miles,AADT
695,0,0.9,628.6923077
696,1,0.89,628.6923077
697,1,0.9,629.8461538
698,3,4.2,631.0769231
699,0,0.19,631.0769231
700,4,5.05,631.0769231
701,3,2.9,631.0769231
702,1,1.75,631.0769231
703,1,1.87,631.0769231
704,2,0.79,631.0769231
705,0,0.89,632
706,1,1.91,632
707,3,0.88,632
708,0,0.9,632
709,0,0.54,632
710,1,0.92,632
711,1,0.91,634.5384615
712,1,0.83,634.5384615
713,0,0.9,634.5384615
714,1,0.64,634.5384615
715,0,0.89,634.5384615
716,0,0.93,634.5384615
717,1,0.93,641.2307692
718,0,0.44,641.2307692
719,0,0.92,641.2307692
720,1,0.84,642.2307692
721,2,0.9,642.2307692
722,0,1.03,642.2307692
723,0,0.87,643
724,0,0.11,643
725,0,0.77,643
726,0,0.87,643
727,0,1.1,646.1538462
728,0,0.63,648.8461538
729,0,0.01,648.8461538
730,3,1.92,648.8461538
731,1,0.91,648.8461538
732,1,1.91,648.8461538
733,0,0.76,648.8461538
734,0,0.91,648.8461538
735,0,0.37,649.0769231
736,0,0.89,649.0769231
737,0,0.92,649.0769231
738,1,0.92,649.0769231
739,0,0.91,649.0769231
740,0,0.92,649.0769231
741,0,0.51,650.8461538
742,1,0.92,650.8461538
743,1,0.91,650.8461538
744,1,0.92,650.8461538
745,0,0.9,652.9230769
746,0,1.18,652.9230769
747,0,0.91,653
748,0,0.9,653
749,1,2.98,653
750,0,0.91,653
751,2,2.02,653
752,0,0.95,653
753,1,0.75,654
754,0,1.06,654
755,0,0.86,654
756,1,0.77,654
757,0,0.85,654
758,2,1.9,658.4615385
759,9,3.01,659.1538462
760,2,0.35,659.1538462
761,4,2.03,659.1538462
762,1,0.9,659.1538462
763,0,0.56,659.1538462
764,4,0.97,659.1538462
765,0,1.17,660.1
766,1,1.31,660.1
767,0,0.18,660.1
768,0,0.07,660.1
769,0,1.36,660.1
770,1,1.26,660.1
771,2,0.79,660.1
772,0,1.13,660.1
773,0,1.13,660.1
774,1,0.29,663
775,0,0.64,663
776,1,0.91,663
777,2,1.4,664.3076923
778,0,0.4,664.3076923
779,0,0.95,664.3076923
780,8,4.38,664.3076923
781,0,0.24,664.3076923
782,1,1.68,664.3076923
783,1,0.9,664.3076923
784,0,0.01,665.6923077
785,0,0.15,665.6923077
786,1,2.97,672.2307692
787,1,1.45,672.2307692
788,0,0.91,672.2307692
789,1,0.38,672.2307692
790,1,0.9,674.1538462
791,1,0.91,674.1538462
792,0,0.91,674.1538462
793,0,0.88,674.1538462
794,0,0.84,683.0769231
795,0,0.96,683.0769231
796,0,0.84,683.0769231
797,0,0.88,693.7692308
798,0,0.9,693.7692308
799,0,0.9,693.7692308
800,1,1.26,709.8461538
801,1,2.32,709.8461538
802,1,1.31,709.8461538
803,0,0.9,709.8461538
804,0,0.9,709.8461538
805,5,1.93,709.8461538
806,1,0.75,710.8461538
807,3,0.91,710.8461538
808,3,0.64,710.8461538
809,3,3.89,710.8461538
810,5,1.77,710.8461538
811,0,0.1,710.8461538
812,3,0.9,710.8461538
813,0,0.92,710.8461538
814,0,0.53,712.875
815,0,0.05,712.875
816,0,0.23,712.875
817,0,2.87,712.875
818,0,0.89,714.4615385
819,1,0.9,714.4615385
820,0,0.93,714.4615385
821,0,0.91,714.4615385
822,0,0.87,714.4615385
823,0,0.38,714.4615385
824,0,0.93,715.2307692
825,0,0.91,715.2307692
826,1,1.94,715.2307692
827,0,0.75,715.2307692
828,2,0.97,715.2307692
829,1,1.15,716.5384615
830,0,0.9,720.0769231
831,1,1.26,720.0769231
832,0,0.87,720.0769231
833,1,0.91,720.0769231
834,0,0.88,720.0769231
835,0,1.11,723
836,0,0.55,723
837,0,0.43,723
838,0,0.1,723
839,0,0.62,723
840,0,0.68,723
841,0,0.69,723
842,0,0.58,723
843,0,0.13,723
844,0,0.16,723
845,0,0.52,723
846,0,0.08,723
847,1,0.63,726.1538462
848,0,0.91,726.1538462
849,1,1.93,726.1538462
850,0,0.21,726.1538462
851,0,0.84,726.1538462
852,1,0.44,726.1538462
853,0,0.38,726.1538462
854,0,0.4,726.1538462
855,0,0.92,726.1538462
856,1,0.9,726.1538462
857,2,0.87,726.1538462
858,1,0.4,726.1538462
859,0,0.92,726.1538462
860,2,0.9,736.7692308
861,1,0.9,736.7692308
862,0,0.89,738.1538462
863,0,0.86,738.1538462
864,2,1.92,738.1538462
865,0,0.97,738.1538462
866,0,1.3,738.1538462
867,0,1,740.8461538
868,2,2.94,744.9230769
869,0,0.91,744.9230769
870,2,1.98,744.9230769
871,2,0.62,749.5384615
872,0,0.43,749.5384615
873,0,1.16,749.5384615
874,1,0.29,753.5384615
875,1,1.5,754.3846154
876,0,0.37,754.3846154
877,0,0.13,754.3846154
878,0,1.41,754.3846154
879,1,1.62,754.3846154
880,1,0.97,754.3846154
881,0,0.9,754.4615385
882,0,0.91,754.4615385
883,0,0.95,754.4615385
884,2,0.9,757.4615385
885,0,2.4,757.4615385
886,0,0.37,762.8461538
887,0,0.03,762.8461538
888,1,1.49,762.8461538
889,0,0.95,762.8461538
890,3,4.14,762.8461538
891,0,0.89,762.8461538
892,1,0.93,762.8461538
893,0,1.97,762.8461538
894,0,1.95,762.8461538
895,0,0.81,764.375
896,0,0.9,764.375
897,0,0.56,765.1538462
898,0,0.9,765.1538462
899,0,0.9,765.1538462
900,1,1.01,765.1538462
901,1,1.91,765.1538462
902,1,1.79,765.1538462
903,1,0.91,765.1538462
904,0,0.37,765.1538462
905,0,0.25,765.1538462
906,0,0.89,765.1538462
907,6,3.24,765.1538462
908,0,0.01,780.5384615
909,0,0.66,780.6153846
910,1,2.04,782.3076923
911,2,0.92,782.3076923
912,0,0.52,782.3076923
913,1,1.94,782.3076923
914,1,2.05,782.3076923
915,1,0.36,782.3076923
916,0,0.24,782.3076923
917,0,0.1,784.2222222
918,0,0.4,799.3076923
919,0,0.7,804.1538462
920,0,0.43,806.6923077
921,0,0.12,806.6923077
922,0,0.03,808.9230769
923,0,0.9,811.1538462
924,0,0.88,827.2307692
925,1,0.9,827.2307692
926,0,0.21,828.0769231
927,0,0.7,847.5384615
928,0,0.31,847.9230769
929,0,0.03,847.9230769
930,1,0.9,847.9230769
931,0,0.91,847.9230769
932,0,0.02,847.9230769
933,0,0.92,847.9230769
934,2,2.79,847.9230769
935,1,0.9,847.9230769
936,0,3.38,847.9230769
937,0,1.89,864.1538462
938,1,0.9,864.1538462
939,1,0.33,864.3846154
940,0,0.46,864.3846154
941,1,0.65,864.3846154
942,3,0.81,864.3846154
943,1,0.98,878.1538462
944,0,0.05,878.1538462
945,0,0.97,878.1538462
946,0,0.89,897.25
947,0,0.91,897.25
948,0,0.9,897.25
949,1,0.91,897.25
950,0,0.89,897.25
