Segment,Miles,Accidents
1107,0.62,0
1108,0.91,0
1109,0.34,0
1110,0.02,0
1111,0.42,0
1112,0.4,1
1113,0.19,0
1114,0.94,0
1115,0.91,1
1116,0.66,0
1117,0.63,0
1118,0.94,0
1119,0.43,0
1120,0.94,0
1121,0.89,0
1122,0.5,2
1123,0.92,0
1124,0.93,0
1125,0.34,0
1126,0.97,1
1127,1.13,1
1128,0.91,0
1129,1.9,3
1130,0.39,0
1131,0.39,0
1132,0.91,0
1133,0.91,0
1134,0.39,0
1135,0.87,1
1136,0.47,0
1137,0.93,0
1138,0.91,0
1139,0.15,0
1140,0.19,0
1141,0.01,0
1142,1.29,1
1143,4.82,3
1144,0.89,0
1145,0.87,0
1146,0.07,0
1147,0.3,0
1148,0.13,0
1149,0.62,0
1150,0.7,1
1151,1.9,2
1152,0.42,0
1153,1.48,0
1154,1,1
1155,0.41,0
1156,1.41,0
1157,0.57,1
1158,3.8,3
1159,0.65,1
1160,0.9,0
1161,0.21,0
1162,0.92,1
1163,0.89,1
1164,0.71,0
1165,0.92,0
1166,0.93,0
1167,0.9,0
1168,0.92,0
1169,0.9,0
1170,0.09,0
1171,0.84,0
1172,0.7,0
1173,0.15,0
1174,0.22,0
1175,0.02,0
1176,0.89,1
1177,1.28,2
1178,0.5,0
1179,2.91,1
1180,0.92,0
1181,1.95,0
1182,1.39,0
1183,0.41,0
1184,0.41,0
1185,0.85,1
1186,0.27,0
1187,2.04,4
1188,0.58,2
1189,0.41,0
1190,0.42,0
1191,0.28,0
1192,0.41,0
1193,0.56,1
1194,1.34,4
1195,0.07,0
1196,1.92,2
1197,0.07,0
1198,0.92,0
1199,0.91,0
1200,0.91,0
1201,0.92,1
1202,2.16,1
1203,0.61,0
1204,0.04,0
1205,0.9,1
1206,0.82,0
1207,8.44,9
1208,2,0
1209,0.28,0
1210,0.16,0
1211,1.11,0
1212,0.94,2
1213,2.49,3
1214,0.25,0
1215,0.89,2
1216,0.91,0
1217,0.11,0
1218,1.9,3
1219,1.87,5
1220,1.68,3
1221,1,1
1222,0.1,0
1223,0.9,0
1224,0.66,0
1225,0.91,0
1226,0.9,0
1227,0.9,0
1228,0.36,0
1229,0.38,1
1230,0.9,1
1231,0.28,0
1232,0.38,0
1233,0.01,0
1234,0.41,1
1235,1.54,2
1236,2.93,2
1237,0.01,0
1238,0.89,2
1239,0.86,0
1240,1.89,1
1241,0.91,1
1242,0.28,0
1243,0.69,2
1244,0.54,1
1245,0.67,0
1246,0.04,0
1247,0.09,1
1248,0.56,0
1249,0.43,0
1250,1.89,0
1251,1,0
1252,1.4,1
1253,0.9,1
1254,0.9,0
1255,0.15,1
1256,2,2
1257,0.9,1
1258,1.91,1
1259,2,1
1260,0.83,1
1261,0.54,1
1262,0.46,1
1263,5.83,2
1264,2.7,2
1265,0.48,0
1266,1.33,0
1267,1.38,0
1268,0.33,0
1269,0.11,0
1270,0.51,0
1271,0.94,2
1272,0.48,0
1273,0.9,0
1274,0.4,0
1275,0.82,0
1276,0.89,1
1277,0.4,0
1278,0.9,2
1279,0.91,0
1280,1.89,0
1281,0.9,2
1282,0.91,1
1283,2.23,1
1284,1.86,2
1285,0.9,0
1286,3.89,8
1287,0.11,0
1288,0.42,1
1289,0.94,0
1290,1.37,1
1291,1.75,2
1292,2.74,1
1293,1.47,0
1294,0.9,1
1295,1.31,0
1296,0.48,1
1297,0.03,0
1298,0.15,1
1299,4.91,4
1300,0.9,1
1301,0.63,2
1302,1.01,0
1303,0.93,0
1304,0.91,0
1305,0.95,3
1306,1.06,1
1307,0.96,0
1308,0.74,3
1309,1.86,1
1310,0.9,1
1311,0.57,0
1312,0.91,1
1313,0.91,2
1314,0.9,0
1315,0.9,0
1316,0.9,2
1317,0.2,0
1318,0.13,1
1319,0.04,0
1320,7.31,10
1321,5.65,8
1322,0.03,0
1323,0.52,0
1324,0.83,0
1325,2,0
1326,8.74,11
1327,0.08,0
1328,1.06,1
1329,0.78,1
1330,0.28,0
1331,2.01,4
1332,0.47,0
1333,1.71,0
1334,3.24,2
1335,0.13,0
1336,0.2,2
1337,1.09,0
1338,0.65,0
1339,0.03,0
1340,0.05,0
1341,2.49,0
1342,0.26,0
1343,0.45,0
1344,0.24,0
1345,7.32,5
1346,1.88,1
1347,0.64,0
1348,0.2,0
1349,0.43,0
1350,1.02,2
1351,0.9,1
1352,2.46,1
1353,0.15,0
1354,0.92,1
1355,0.92,1
1356,0.12,0
1357,0.18,0
1358,0.9,0
1359,0.92,2
1360,0.6,0
1361,0.11,0
1362,1.74,2
1363,0.02,0
1364,0.04,0
1365,1.05,1
1366,1.57,0
1367,1.24,1
1368,1.19,2
1369,1.2,1
1370,1.21,2
